"Property Address","Mailing City","Mailing State","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","Geocodio Stable Address Key","Geocodio Match Type"
"36 IDLEWOOD PLACE",STAMFORD,CT,41.09641,-73.541907,1,rooftop,"36 Idlewood Pl",,"Stamford, CT 06905",36,"Idlewood Pl",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usn4fgy26b5sdfp868mxs53zxug97,building_centroid
"47 UNDERHILL STREET",STAMFORD,CT,41.059108,-73.531116,1,rooftop,"47 Underhill St",,"Stamford, CT 06902",47,"Underhill St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnw5wlnnqejksnc6z5sl58x32ez9,building_centroid
"17 CRESCENT STREET ",STAMFORD,CT,41.07007,-73.519489,1,rooftop,"17 Crescent St",,"Stamford, CT 06906",17,"Crescent St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnjfp8jlrx8z9j6n2zjlfqqjq553,building_centroid
"27 CRESCENT STREET ",STAMFORD,CT,41.069993,-73.519279,1,rooftop,"27 Crescent St",,"Stamford, CT 06906",27,"Crescent St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnjfp8jlrx8z9j62nwnf9u6l7xg4,building_centroid
"27 CRESCENT STREET",STAMFORD,CT,41.069993,-73.519279,1,rooftop,"27 Crescent St",,"Stamford, CT 06906",27,"Crescent St",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnjfp8jlrx8z9j62nwnf9u6l7xg4,building_centroid
"47 PARKER AVENUE",STAMFORD,CT,41.070309,-73.521284,1,rooftop,"47 Parker Ave",,"Stamford, CT 06906",47,"Parker Ave",,,Stamford,CT,"Western Connecticut Planning Region",06906,US,"City of Stamford",gcod_usnsf6kx88fxceb7xrbmg23wfmqee,building_centroid
"0 SQUARE ACRE DRIVE",STAMFORD,CT,41.106632,-73.549131,1,street_center,"Square Acre Dr",,"Stamford, CT 06905",,"Square Acre Dr",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"TIGER/Line® dataset from the US Census Bureau",gcod_ussvst4sf3m6mhfb,
"69 CLINTON AVENUE",STAMFORD,CT,41.049965,-73.545035,1,rooftop,"69 Clinton Ave",,"Stamford, CT 06901",69,"Clinton Ave",,,Stamford,CT,"Western Connecticut Planning Region",06901,US,"City of Stamford",gcod_usn3gegbdlbcm5u9xceqhq6w49rwc,building_centroid
"1203 HIGH RIDGE ROAD ",STAMFORD,CT,41.110199,-73.545582,1,rooftop,"1203 High Ridge Rd",,"Stamford, CT 06905",1203,"High Ridge Rd",,,Stamford,CT,"Western Connecticut Planning Region",06905,US,"City of Stamford",gcod_usnyvscp4ey3fbqaa5r6wvupjmh73,building_centroid
"80 GEORGE STREET",STAMFORD,CT,41.04616,-73.511847,1,rooftop,"80 George St",,"Stamford, CT 06902",80,"George St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnm9mr7g22mk628njd7vzfmt7lkh,building_centroid
"37 SOUNDVIEW AVENUE",STAMFORD,CT,41.048167,-73.521096,1,rooftop,"37 Soundview Ave",,"Stamford, CT 06902",37,"Soundview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrwlbcvx25jmu7nes6h75rw8hd6,building_centroid
"168 HEMLOCK DRIVE",STAMFORD,CT,41.07261,-73.560133,1,range_interpolation,"168 Hemlock Dr",,"Stamford, CT 06902",168,"Hemlock Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® from the US Census Bureau",gcod_usnr9qn5pjyh9nrehm4asdayurcwc,
"41 NORTH STREET",STAMFORD,CT,41.058585,-73.545185,1,rooftop,"41 North St",,"Stamford, CT 06902",41,"North St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnbsvcnnmtgsabgdqzu8kugc2jhg,building_centroid
"54 SIGNAL ROAD ",STAMFORD,CT,41.026536,-73.551812,1,rooftop,"54 Signal Rd",,"Stamford, CT 06902",54,"Signal Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnl98v4bcyp6mr33xtgjb5azp5y5,building_centroid
"50 SIGNAL ROAD ",STAMFORD,CT,41.026439,-73.551401,1,rooftop,"50 Signal Rd",,"Stamford, CT 06902",50,"Signal Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnl98v4bcyp6mr3r6fnqrry3dbfa,parcel_centroid
"46 SIGNAL ROAD ",STAMFORD,CT,41.026463,-73.550996,1,rooftop,"46 Signal Rd",,"Stamford, CT 06902",46,"Signal Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnl98v4bcyp6mr3d2zgqbqhq7a34,parcel_centroid
"42 SIGNAL ROAD ",STAMFORD,CT,41.026522,-73.55063,1,rooftop,"42 Signal Rd",,"Stamford, CT 06902",42,"Signal Rd",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"Connecticut Geospatial Information Systems Council",gcod_usnl98v4bcyp6mr339ware8weeejf,parcel_centroid
"87 SEASIDE AVENUE",STAMFORD,CT,41.055928,-73.510332,1,rooftop,"87 Seaside Ave",,"Stamford, CT 06902",87,"Seaside Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnycqcgtwkxlajb5vs9mzftm2hgb,building_centroid
"65 BURWOOD AVENUE",STAMFORD,CT,41.032128,-73.550709,1,rooftop,"65 Burwood Ave",,"Stamford, CT 06902",65,"Burwood Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn3prxcw5mhjs36ztl4myp9z768h,building_centroid
"81 CRYSTAL STREET",STAMFORD,CT,41.058403,-73.524959,1,rooftop,"81 Crystal St",,"Stamford, CT 06902",81,"Crystal St",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnmwlgdhjhtg5u5565l9dptysz7a,building_centroid
"133 SOUNDVIEW AVENUE",STAMFORD,CT,41.045513,-73.520042,1,rooftop,"133 Soundview Ave",,"Stamford, CT 06902",133,"Soundview Ave",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usnrwlbcvx25jmu73px2zjz4qv7w6,building_centroid
"1 STRAWBERRY HILL COURT",STAMFORD,CT,41.065697,-73.533794,1,rooftop,"1 Strawberry Hill Ct",,"Stamford, CT 06902",1,"Strawberry Hill Ct",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"City of Stamford",gcod_usn6hzd7lun3hhfh6dhmtjgkveeh5,building_centroid
"57 HARBOR DRIVE",STAMFORD,CT,41.038398,-73.529426,1,range_interpolation,"57 Harbor Dr",,"Stamford, CT 06902",57,"Harbor Dr",,,Stamford,CT,"Western Connecticut Planning Region",06902,US,"TIGER/Line® from the US Census Bureau",gcod_usnf6peeepruj8ubyt26at486hb9h,
